25-12-2020 00-56-07<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-56-07<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/test.txt', is_directory=False>
25-12-2020 00-56-16<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-34<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-34<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/test.txt', is_directory=False>
25-12-2020 00-57-36<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-38<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-38<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/tefdst.txt', is_directory=False>
25-12-2020 00-57-40<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-40<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/tefdfdst.txt', is_directory=False>
25-12-2020 00-57-42<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-42<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/tefdfdfdst.txt', is_directory=False>
25-12-2020 00-57-43<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-43<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/tefdffddfdst.txt', is_directory=False>
25-12-2020 00-57-45<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-45<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-45<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-45<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-47<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-47<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/tefdffddffddst.txt', is_directory=False>
25-12-2020 00-57-49<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-49<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/tefdffdfddffddst.txt', is_directory=False>
25-12-2020 00-57-51<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-51<FileModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important/tefdffdfdfddffddst.txt', is_directory=False>
25-12-2020 00-57-52<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-52<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>
25-12-2020 00-57-52<DirModifiedEvent: event_type=modified, src_path='/home/erlanrox/Important', is_directory=True>

